campaign_name,campaign_id,adset_name,adset_id,ad_name,ad_id,date_start,cpm,cpc,clicks,impressions,reach,spend,hourly_stats_aggregated_by_audience_time_zone
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-12,0,None,0,1,1,0,06
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-02,0,None,0,1,1,0,06
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-06,0,None,0,2,2,0,07
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-13,0,None,0,3,3,0,07
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-09,None,None,0,2,2,0,07
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-10,0,None,0,1,1,0,07
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-11,None,None,0,2,2,0,07
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-05,0,None,0,1,1,0,07
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-07,23000,23,1,1,1,23,07
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-12,0,None,0,1,1,0,07
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-04,None,None,0,6,6,0,07
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-03,1214.285714,17,1,14,14,17,07
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-09,None,None,0,5,5,0,08
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-10,0,None,0,4,4,0,08
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-12,0,None,0,1,1,0,08
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-11,None,None,0,5,4,0,08
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-08,None,None,0,3,3,0,08
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-05,0,None,0,3,3,0,08
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-02,0,None,0,2,2,0,08
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-06,0,None,0,1,1,0,08
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-03,None,None,0,32,31,0,08
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-04,None,None,0,12,13,0,08
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-05,0,None,0,1,1,0,09
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-12,0,None,0,4,4,0,09
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-09,None,None,0,13,13,0,09
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-06,0,None,0,1,1,0,09
