Customer ID,Campaign ID,Ad group ID,Age Range,Criterion ID,Ad group state,Max. CPM,Max. CPC,Bid Strategy Type,Cost,Avg. Cost,Impressions,Clicks,Conversions,All conv.,Avg. CPC,Cost / conv.,Cost / all conv.,CTR,View-through conv.
2042877296,6460877943,77043580923,18-24,503001,enabled, --,4000000,cpc,22936596,2548511,2862,9,0.00,0.00,2548511,0,0,0.31%,0
2042877296,6460877943,77043580923,Undetermined,503999,enabled, --,4000000,cpc,75055603,3002224,5468,25,0.00,0.00,3002224,0,0,0.46%,0
2042877296,6460877943,77043580923,35-44,503003,enabled, --,4000000,cpc,214445036,3249167,16245,66,2.00,2.00,3249167,107222518,107222518,0.41%,0
2042877296,6460877943,77043580923,45-54,503004,enabled, --,4000000,cpc,313276604,3263298,17431,96,13.00,13.00,3263298,24098200,24098200,0.55%,0
2042877296,6460877943,77043580923,55-64,503005,enabled, --,4000000,cpc,945475398,2619045,27455,361,5.00,5.00,2619045,189095080,189095080,1.31%,0
2042877296,6460877943,77043580923,65 or more,503006,enabled, --,4000000,cpc,1059302665,2552537,19072,415,3.00,3.00,2552537,353100888,353100888,2.18%,0
2042877296,6460877943,77043580923,25-34,503002,enabled, --,4000000,cpc,288119405,2421171,13137,119,1.00,1.00,2421171,288119405,288119405,0.91%,0
